filename,filepath,aqi,category,source
01_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\01_hazy.png,283.3,Very Unhealthy,dense_haze
02_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\02_hazy.png,261.4,Very Unhealthy,dense_haze
03_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\03_hazy.png,282.0,Very Unhealthy,dense_haze
04_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\04_hazy.png,307.4,Hazardous,dense_haze
05_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\05_hazy.png,209.7,Very Unhealthy,dense_haze
06_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\06_hazy.png,347.4,Hazardous,dense_haze
07_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\07_hazy.png,261.7,Very Unhealthy,dense_haze
08_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\08_hazy.png,256.1,Very Unhealthy,dense_haze
09_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\09_hazy.png,238.1,Very Unhealthy,dense_haze
10_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\10_hazy.png,317.3,Hazardous,dense_haze
11_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\11_hazy.png,307.0,Hazardous,dense_haze
12_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\12_hazy.png,329.8,Hazardous,dense_haze
13_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\13_hazy.png,315.7,Hazardous,dense_haze
14_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\14_hazy.png,290.5,Very Unhealthy,dense_haze
15_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\15_hazy.png,293.1,Very Unhealthy,dense_haze
16_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\16_hazy.png,317.4,Hazardous,dense_haze
17_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\17_hazy.png,244.9,Very Unhealthy,dense_haze
18_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\18_hazy.png,278.2,Very Unhealthy,dense_haze
19_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\19_hazy.png,295.3,Very Unhealthy,dense_haze
20_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\20_hazy.png,261.9,Very Unhealthy,dense_haze
21_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\21_hazy.png,308.9,Hazardous,dense_haze
22_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\22_hazy.png,265.9,Very Unhealthy,dense_haze
23_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\23_hazy.png,306.9,Hazardous,dense_haze
24_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\24_hazy.png,285.6,Very Unhealthy,dense_haze
25_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\25_hazy.png,298.5,Very Unhealthy,dense_haze
26_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\26_hazy.png,219.3,Very Unhealthy,dense_haze
27_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\27_hazy.png,245.6,Very Unhealthy,dense_haze
28_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\28_hazy.png,333.8,Hazardous,dense_haze
29_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\29_hazy.png,287.1,Very Unhealthy,dense_haze
30_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\30_hazy.png,276.7,Very Unhealthy,dense_haze
31_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\31_hazy.png,318.5,Hazardous,dense_haze
32_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\32_hazy.png,310.0,Hazardous,dense_haze
33_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\33_hazy.png,278.1,Very Unhealthy,dense_haze
34_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\34_hazy.png,254.3,Very Unhealthy,dense_haze
35_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\35_hazy.png,358.4,Hazardous,dense_haze
36_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\36_hazy.png,307.6,Hazardous,dense_haze
37_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\37_hazy.png,217.1,Very Unhealthy,dense_haze
38_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\38_hazy.png,313.6,Hazardous,dense_haze
39_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\39_hazy.png,310.7,Hazardous,dense_haze
40_hazy.png,C:\Users\Srujan Jadhav\Desktop\aqi_prediction\data\raw\dense_haze\hazy\40_hazy.png,312.6,Hazardous,dense_haze
