epoch,loss,lr,mae,rmse,val_loss,val_mae,val_rmse
0,0.10194584727287292,0.001,1.0683684349060059,1.5553289651870728,0.027714332565665245,0.3249281644821167,0.38802286982536316
1,0.0610632449388504,0.001,0.658676266670227,0.8987866640090942,0.03329988941550255,0.38115108013153076,0.44946810603141785
2,0.05588290095329285,0.001,0.6068384647369385,0.8330498337745667,0.010890506207942963,0.15246891975402832,0.18968914449214935
3,0.04996078833937645,0.001,0.5468039512634277,0.7645033001899719,0.020971251651644707,0.2558831572532654,0.2987886667251587
4,0.049080125987529755,0.001,0.5384830832481384,0.7330373525619507,0.016385920345783234,0.2108643352985382,0.23133644461631775
5,0.04484599083662033,0.001,0.49634015560150146,0.6675806045532227,0.019120248034596443,0.23739811778068542,0.3004518151283264
6,0.04170443117618561,0.0005,0.46478763222694397,0.6316161155700684,0.014999513514339924,0.19345879554748535,0.24738337099552155
7,0.03848715499043465,0.0005,0.4318195879459381,0.601893961429596,0.011062574572861195,0.1536884605884552,0.18085001409053802
8,0.041079454123973846,0.0005,0.45809608697891235,0.6546368598937988,0.012995458208024502,0.1726774275302887,0.22011318802833557
9,0.03999307379126549,0.00025,0.44697830080986023,0.6220612525939941,0.012380234897136688,0.1680362969636917,0.20735003054141998
