epoch,loss,lr,mae,rmse,val_loss,val_mae,val_rmse
0,0.3919045329093933,0.001,0.999335527420044,1.4862236976623535,0.18564373254776,0.6135818362236023,0.6424837112426758
1,0.21031801402568817,0.001,0.6176224946975708,0.8616622090339661,0.0363103449344635,0.23951157927513123,0.26948225498199463
2,0.1977577805519104,0.001,0.5926241874694824,0.8217076659202576,0.02632046863436699,0.1687120497226715,0.22951039671897888
3,0.18028973042964935,0.001,0.5588752031326294,0.7647156715393066,0.01866530254483223,0.15975305438041687,0.19321130216121674
4,0.161150261759758,0.001,0.5101464986801147,0.7295684218406677,0.022975504398345947,0.19899046421051025,0.21436186134815216
5,0.14373905956745148,0.001,0.47542259097099304,0.6708558201789856,0.0655297040939331,0.3240373730659485,0.36416515707969666
6,0.15555524826049805,0.001,0.5049692988395691,0.6934911012649536,0.015334438532590866,0.13851724565029144,0.17512531578540802
7,0.1387389600276947,0.001,0.46602189540863037,0.6516957879066467,0.028003429993987083,0.21074692904949188,0.23665767908096313
8,0.1298527717590332,0.001,0.4386659860610962,0.626990020275116,0.02491617761552334,0.20288488268852234,0.22323161363601685
9,0.11047731339931488,0.001,0.3989560306072235,0.562099039554596,0.02425204962491989,0.19554825127124786,0.22023646533489227
10,0.11125700175762177,0.0005,0.40169474482536316,0.5646534562110901,0.029502853751182556,0.21859411895275116,0.24291090667247772
11,0.10331591218709946,0.0005,0.38215211033821106,0.5364911556243896,0.028739087283611298,0.2139481008052826,0.2397460639476776
12,0.09903067350387573,0.0005,0.36924654245376587,0.5262299180030823,0.02080579660832882,0.18294061720371246,0.2039891928434372
13,0.09669709205627441,0.00025,0.36505478620529175,0.5029752850532532,0.023457089439034462,0.18779386579990387,0.2165968120098114
14,0.09841185063123703,0.00025,0.36498624086380005,0.5232747793197632,0.03301099315285683,0.20608501136302948,0.2572610080242157
15,0.09185124933719635,0.00025,0.35280972719192505,0.4983626902103424,0.03043745830655098,0.19936349987983704,0.24690458178520203
16,0.08952009677886963,0.000125,0.349075585603714,0.47486838698387146,0.02761976420879364,0.1815316528081894,0.23513618111610413
